"name","school","subschool","descriptor","spell_level","casting_time","components","costly_components","range","area","effect","targets","duration","dismissible","shapeable","saving_throw","spell_resistance","description","source"
"Firebrand","transmutation","","fire","sorcerer/wizard 7","1 standard action","V, S","0","close (25 ft. + 5 ft./2 levels)","","","one creature/4 levels, no two of which can be more than 30 ft. apart","1 round/level","0","0","Will negates (harmless), but see below","yes (harmless)","You mark several allies with a flaming rune. This rune does not cause damage, and sheds light as if it were a torch. While the firebrand burns, any creature it marks is immune to damage from any fire spell you cast. All of the target's weapons (both natural and manufactured) inflict +1d6 points of fire damage on a hit (this bonus fire damage stacks with any amount of fire damage a creature's weapons might already inflict). At any point during the spell's duration, a creature bearing a firebrand can launch a beam of fire at any target within 30 feet as a swift action. This ray requires a ranged touch attack to hit and deals 6d6 points of fire damage. Once a creature uses its firebrand to fire a ray in this manner, the effects of the spell end for that creature.","APG"
"Firefall","transmutation","","fire","sorcerer/wizard 4, magus 4, bloodrager 4","1 standard action","V, S, M (one fire source)","0","long (400 ft. + 40 ft./level)","","","one fire source, up to a 20-foot cube","instantaneous","0","0","Will negates and Reflex negates; see text","no","Firefall causes a fire to erupt into a geyser of dazzlingly bright liquid flame. The spell uses one fire source, which is immediately extinguished. A fire larger than a 20-foot cube is only partly extinguished. Magical fires are not extinguished, but a creature of the fire subtype used as the source takes 1 point of damage per caster level (no saving throw).  The coruscating rain of fire fills a hemispherical burst with a radius of 60 feet. All creatures and objects in the area take 5d6 points of fire damage and catch on fire (Core Rulebook 444).  Creatures who make successful Reflex saves take half damage and don't catch on fire. Creatures within 120 feet of the original fire source are blinded for 1d4+1 rounds (Will negates).","APG"
"Flames Of The Faithful","transmutation","","fire","inquisitor 2","1 standard action","V","0","touch","","","weapon touched","1 round/level","0","0","Fortitude negates (object, harmless)","yes (object, harmless)","With a touch, you cause a glowing rune to appear on a single weapon, granting that weapon the flaming property (and allowing it to cause an extra 1d6 points of fire damage on a successful hit). If you are using the judgment class feature, your weapon gains the flaming burst property instead. The spell functions only for weapons that you wield. If the weapon leaves your hand for any reason, the spell effect ends. The effects of this spell do not stack with any existing flaming or flaming burst weapon property that the target weapon may already possess.","APG"
"Flare Burst","evocation","light","","bard 1, druid 1, sorcerer/wizard 1, magus 1, bloodrager 1, psychic 1","1 standard action","V","0","close (25 ft. + 5 ft./2 levels)","","10-ft.-radius burst of light","","instantaneous","0","0","Fortitude negates","yes","This spell functions as flare, except it affects all creatures in a 10-foot-radius burst from the target point.","APG"
"Fluid Form","transmutation","","water","alchemist 4, sorcerer/wizard 6, psychic 6","1 standard action","S, M (a mixture of oil and water)","0","personal","","","you","1 minute/level","0","0","","","When you cast this spell, your body takes on a slick, oily appearance. For the duration of this spell, your form can stretch and shift with ease and becomes slightly transparent, as if you were composed of liquid. This transparency is not enough to grant concealment. You gain DR 10/slashing and your reach increases by 10 feet. In addition, you can pass through small holes or narrow openings, even mere cracks, with anything you were carrying at the time the spell was cast (except other creatures). Finally, you can move through water with a swim speed of 60 feet and can breathe both water and air for the duration of this effect. You are treated as if you had the water subtype while this spell is in effect.","APG"
"Fly, Mass","transmutation","","","sorcerer/wizard 7, psychic 7","1 standard action","V, S, F (a wing feather)","0","close (25 ft. + 5 ft./2 levels)","","","one creature/level, no two of which can be more than 30 ft. apart","10 minutes/level","0","0","Will negates (harmless)","yes (harmless)","This spell functions as fly (Core Rulebook 284), save that it can target numerous creatures and lasts longer.","APG"
"Foe to Friend","enchantment","compulsion","mind-affecting","bard 5, psychic 7, mesmerist 5","1 immediate action","V, S","0","medium (100 ft. + 10 ft./level)","","","one living creature","1 round","0","0","Will negates","yes","Cast this spell when an enemy is about to make an attack against an ally. The creature makes the attack against a valid target of your choice instead or the attack is negated.  In addition, the target is considered an ally for determining flanking for 1 round.","APG"
"Follow Aura","divination","","chaotic, evil, good, or lawful","inquisitor 2, occultist 3","1 standard action","V, S, DF","0","personal","","","you","10 minutes/level (D)","1","0","","","Choose one alignment type: chaotic, evil, good, or lawful. You gain the ability to follow the trail of a strong or overwhelming aura of that alignment (see detect evil, Core Rulebook 266). This is treated as tracking using the scent special quality, except you are following the traces of their aura upon the ground rather than their scent, and you receive no bonus on Perception checks. At 10th level, you can track the trail of creatures with a moderate alignment aura as well.  When you use this spell to track a given alignment, it gains the descriptor of the opposite alignment. For example, when follow aura is used to track evil, it gains the good descriptor.","APG"
"Fool's Forbiddance","abjuration","","mind-affecting","bard 6, psychic 8","1 standard action","V, S, M (a ring of keys)","0","10 ft.","10-ft.-radius spherical emanation centered on you","","","concentration","0","0","Will partial","yes","Through your antics and performance, you create an area of warding that adversely affects all enemies that dare enter it. When an enemy creature enters the area it must make an immediate Will saving throw. If it fails, the creature is confused as long as it is in the area and for 1 round after it leaves. If it succeeds on the saving throw, the creature is staggered as long as it is in the area and for 1 round after it leaves.","APG"
"Forced Repentance","enchantment","compulsion","mind-affecting, emotion","inquisitor 4, paladin 4","1 standard action","V, S, DF","0","close (25 ft. + 5 ft./2 levels)","","","one evil creature without the evil subtype","1 round/level","0","0","Will negates","yes","You force an evil creature that does not have the evil subtype to momentarily reflect on its past actions and be overcome by grief and conscience. The target immediately drops prone and begins to loudly confess all of its sins and transgressions to the caster for the duration of the spell. The spell immediately ends if you move out of line of sight or if the target is attacked.","APG"
"Frozen Note","enchantment","compulsion","mind-affecting, sonic","bard 5","1 standard action","V","0","","30-ft.-radius emanation centered on you","","any number of creatures within area","concentration (up to 1 round/level); see text","0","0","Will partial; see text","yes","You produce and sustain a single perfect musical note that holds nearby creatures, friend as well as foe, utterly spellbound until you stop singing. Affected creatures are both paralyzed and oblivious to their surroundings so long as you maintain the note.  Maintaining this note requires your absolute attention; if you take damage or take any other action, including moving from your current square, the spell instantly ends. Creatures that succeed in their initial saving throw must make a new one for each round they spend within the area of the spell until they fail and become captivated. Creatures with 4 or more Hit Dice greater than your caster level are not affected by this spell. However, those with 4 or more Hit Dice less than your caster level do not receive a saving throw to resist it. The note is so clear and flawless that less than extraordinary attempts to avoid hearing it merely grant targets a bonus on their saving throws. Targets get a +2 circumstance bonus on their saving throw for each barrier between your voice and their ears. This includes such things as a creature stopping up its ears with wax, closing all windows and doors in a nearby building, or even crawling into a barrel and pulling down the top.  If a target that had previously made its saving throw loses the benefit of one or more of its barriers it must immediately make a new saving throw. Similarly, any target that had previously failed its saving throw gets a new save each time it gains the protection of a barrier.","APG"
"Gallant Inspiration","divination","","","bard 2","1 immediate action","V","0","close (25 ft. + 5 ft./2 levels)","","","one living creature","instantaneous","0","0","Will negates (harmless)","yes","This word of arcane-empowered inspiration often ensures success of a crucial endeavor. Cast this spell when a creature fails an attack roll or skill check. The creature gains a +2d4 competence bonus to the attack roll or skill check retroactively.  If the bonus is enough to turn the failure into a success, the roll succeeds.","APG"
"Getaway","conjuration","teleportation","","bard 6, sorcerer/wizard 6, occultist 6, psychic 6, mesmerist 6, spiritualist 6","1 minute","V, S, M (a brass doorknob)","0","unlimited","","","you and one willing creature/2 levels, all of which must be within 30 feet of you","1 hour/level","0","0","none","no","Getaway teleports you and allies you designate at the time of casting to a predetermined location. You must initially cast the spell at that location-all creatures affected by the spell must be present at that time and within 30 feet of you. At any time before the spell's duration expires, you may trigger the spell as a swift action. At this time, all affected creatures (or their remains and gear) within 30 feet of you are teleported to the location where you first cast the spell. Creatures more than 30 feet away from you are left behind. Selected creatures within 30 feet of you who do not wish to travel with you at that time can simply choose not to go. You can be transported any distance within a plane but cannot travel between planes.","APG"
"Geyser","conjuration","creation","fire, water","druid 4, sorcerer/wizard 5, magus 5","1 standard action","V, S, M/DF (a piece of lava rock)","0","long (400 ft. + 40 ft./level)","","spout of boiling water filling a 5 ft. square and spraying upward 10 ft./2 levels","","concentration + 1 round/level","0","0","Reflex partial (see below)","no","You cause a column of boiling water to spring forth from any horizontal surface, knocking over creatures directly over it and exposing nearby creatures to searing droplets as its spray falls back to the ground.  Any creature entering the geyser, or occupying the square it appears in, must make a Reflex saving throw to avoid being hurled into the air and then tossed to the ground. If the creature fails its saving throw, it takes 3d6 points of fire damage from the boiling water and also takes falling damage based upon the height of the geyser (e.g., if the geyser is 50 feet tall, the creature takes 5d6 falling damage), landing prone in a random square adjacent to the geyser. A successful saving throw halves the damage and negates the falling damage, and the creature is moved to the closest square adjacent to the geyser (Large-sized or larger creatures are moved enough so that they are not on top of the geyser but still adjacent to it).  This movement does not provoke attacks of opportunity and does not count toward the creature's normal movement.  In addition, the geyser sprays boiling water in a hemispherical emanation around its square. The radius of this emanation is equal to one-half the geyser's height (e.g., a 50-foot geyser has a 25-foot-radius emanation). Any creature within this area, including yourself, takes 1d6 points of fire damage each round as droplets of boiling water cascade on them.  You can choose to make a smaller geyser than your level permits if an obstruction prevents it from reaching its full height, or if you simply want to create a spread of boiling rain that's smaller than what would be created by a full-height geyser spell.","APG"
"Ghostbane Dirge","transmutation","","","bard 2, cleric/oracle 2, inquisitor 2, paladin 1, shaman 2, occultist 2","1 standard action","V, S, M/DF (an old reed from a wind instrument)","0","close (25 ft. + 5 ft./2 levels)","","","one incorporeal creature","1 round/level","0","0","Will negates","yes","The target coalesces into a semi-physical form for a short period of time. While subject to the spell, the incorporeal creature takes half damage (50%) from nonmagical attack forms, and full damage from magic weapons, spells, spell-like effects, and supernatural effects.","APG"
"Ghostbane Dirge, Mass","transmutation","","","bard 4, cleric/oracle 5, inquisitor 5, paladin 3, shaman 5, occultist 5","1 standard action","V, S, M/DF (an old reed from a wind instrument)","0","close (25 ft. + 5 ft./2 levels)","","","one incorporeal creature/level, no two of which can be more than 30 ft. apart","1 round/level","0","0","Will negates","yes","This spell functions as ghostbane dirge, except that it affects multiple targets.","APG"
"Glide","transmutation","","","druid 2, ranger 1, sorcerer/wizard 2, summoner/unchained summoner 2, witch 2, shaman 2, occultist 2, psychic 2","1 standard action","V, S, M/DF (a leaf )","0","personal","","","you","until landing or 1 minute/level (D)","1","0","","","You take no damage from falls (as if from feather fall). In addition, you can move up to 5 feet in any horizontal direction for every 1 foot you fall, at a speed of 60 feet per round. You cannot use this spell to actually gain height, merely coast in other directions as you fall. If subjected to a strong wind or any other effect that causes you to rise you can take advantage of it in order to increase the distance you can glide. The spell ends as soon as your feet touch the ground regardless of its remaining duration. If the spell expires while you are still in the air you fall the remaining distance as normal.","APG"
"Grace","abjuration","","","cleric/oracle 2, paladin 1","1 swift action","V","0","personal","","","you","see text","0","0","","","Until the end of your turn, your movement does not provoke attacks of opportunity.","APG"
"Gravity Bow","transmutation","","","ranger 1, sorcerer/wizard 1, occultist 1","1 standard action","V, S","0","personal","","","you","1 minute/level (D)","1","0","","","Gravity bow significantly increases the weight and density of arrows or bolts fired from your bow or crossbow the instant before they strike their target and then return them to normal a few moments later. Any arrow fired from a bow or crossbow you are carrying when the spell is cast deals damage as if one size larger than it actually is. For instance, an arrow fired from a Medium longbow normally deals 1d8 points of damage, but it would instead deal 2d6 points of damage if fired from a gravity bow (see page 145 of the Core Rulebook for more information). Only you can benefit from this spell. If anyone else uses your bow to make an attack the arrows deal damage as normal for their size.","APG"
"Grove of Respite","conjuration","creation","","druid 4, ranger 4, shaman 5","10 minutes","V, S, M/DF (a leaf or blade of grass and a drop of water)","0","close (25 ft. + 5 ft./2 levels)","","20-ft.-radius grove","","2 hours/level (D)","1","0","none","no","You conjure a sheltered grove of trees surrounding a shallow spring. The grove appears from nowhere even in the most barren, rocky soil regardless of season, but the spell must be cast outside on open ground.  The area within the grove is temperate and comfortable, like that of a tiny hut, although the grove provides no illumination and provides no protection from the elements. The water in the grove's spring is clean and drinkable. Additionally, the trees provide a variety of ripe fruit, regardless of season, which acts as a goodberry spell for up to eight people. The grove is warded with an alarm spell that alerts you whenever any creature enters the area. Once the spell expires, the grove vanishes, including all fruit, water, and other materials from it, although any nourishment or healing gained from its effects remains.","APG"
"Guiding Star","divination","","","cleric/oracle 3, ranger 2, witch 3, shaman 2, psychic 3","1 minute","V, S, M (a spool of thread or string)","0","personal","","","you","1 day/level (D)","1","0","","","You form a bond with your surroundings when you cast this spell. For the remaining duration of the spell you can always, as a standard action, determine your approximate distance from that area as well as the direction you must travel in order to reach it. You cannot determine the location of the area if you are on a different plane. The area counts as ""very familiar"" for the purposes of teleport or similar spells. You can only attune yourself to one location at a time. If you cast the spell at another spot you lose the ability to locate your original area.","APG"
"Heroic Finale","enchantment","compulsion","mind-affecting","bard 4","1 standard action","V, S","0","close (25 ft. + 5 ft./2 levels)","","","one creature","instantaneous","0","0","Will negates (harmless)","yes (harmless)","You must have a bardic performance in effect to cast this spell. With a flourish, you immediately end the performance, and one creature within range affected by your bardic performance can make a move action or a standard action of their choice.","APG"
"Hero's Defiance","conjuration","healing","","paladin 1","1 immediate action","V","0","personal","","","you","instantaneous","0","0","","","The instant before you are reduced to 0 or fewer hit points, you can expend a use of your lay on hands ability to heal yourself as if you had used lay on hands, plus an additional 1d6 hit points.  If this healing brings your hit point total above 0 hit points, you do not fall, and may continue to act. If you have no more uses of lay on hands this spell has no effect.","APG"
"Hidden Speech","transmutation","","language-dependent","bard 2, inquisitor 3, witch 2, psychic 2, mesmerist 2, medium 2","1 standard action","V, S, M/DF (a cipher written on a piece of parchment)","0","close (25 ft. + 5 ft./2 levels)","","","you plus one creature/level, no two of which can be more than 30 ft. apart","10 minutes/level (D)","1","0","Will negates (harmless)","yes","You greatly enhance the ability of the subjects to communicate hidden messages to each other. Each target gains a +10 competence bonus on Bluff checks to send secret message to other recipients. Others using opposed Sense Motive checks to decipher these messages receive a -5 penalty. All subjects affected by the spell must share a language to be able to pass messages.","APG"
"Hide Campsite","illusion","glamer","","druid 3, ranger 2","10 minutes","V, S, M (a sprig of mistletoe, and a vial of quicksilver)","0","close (25 ft. + 5 ft./2 levels)","one 20-ft. cube","","","2 hours/level (D)","1","0","Will disbelief (if interacted with)","no","You make the area around a campsite appear to be a thicket of untouched and forbidding foliage, or some other unwelcoming feature matching the surrounding terrain. Creatures outside the area cannot sense any activity going on inside the area- they cannot smell campfires or cooking food, they cannot hear conversation, loud noises, or spells being cast, and they cannot even feel heat or a rush of wind coming from the area. Those inside the area can see out normally. Once a creature steps into the area of the spell, it can see everything in and around the area normally.","APG"
"Holy Whisper","evocation","","good","paladin 3","1 standard action","V, S","0","30 ft.","cone-shaped burst","","","instantaneous","0","0","Fortitude negates; see text","yes","You whisper a single word in the primordial language of good that is anathema to the minions of evil and strengthens the resolve of good creatures. Evil creatures within the burst must make a Fortitude saving throw or become sickened for 1 round/ level. Evil outsiders with the evil subtype, evil-aligned dragons, and undead in the burst also take 2d8 points of damage if they fail their saves. Good-aligned creatures in the burst gain a +2 sacred bonus on attack and damage rolls for 1 round.","APG"
"Honeyed Tongue","transmutation","","","bard 2, inquisitor 2, paladin 1, mesmerist 2","1 standard action","V, M/DF (a drop of honey)","0","personal","","","you","10 minutes/level","0","0","","","This spell augments your diplomacies. While under the effects of spell, you roll two dice each time you make a Diplomacy check to change a creature's attitude, taking the highest roll.  If this results in a roll low enough to reduce the creature's attitude by a step, that creature gets some clue that you are manipulating it with a spell. Alternatively you can cast this spell before making a Diplomacy check to gather information, gaining a +5 competence bonus on the check.","APG"
"Hungry Pit","conjuration","creation","","sorcerer/wizard 5, summoner/unchained summoner 5","1 standard action","V, S, F (miniature shovel costing 10 gp)","1","medium (100 ft. + 10 ft./level)","","10-ft.-by-10-ft. hole, 10 ft. deep/2 levels","","1 round + 1 round/level","0","0","Reflex negates; Reflex half; see text","no","This spell functions as create pit, except that the pit has the ability to squeeze and crush any creature trapped within it and has a maximum depth of 100 feet. Creatures who fall into the hole take falling damage as normal. In addition, anyone within the pit, not just those on the bottom, takes 4d6 points of bludgeoning damage each round as the pit contracts and then returns to its normal size (a successful Reflex save halves this damage). The ever-shifting walls of the pit are quite difficult to scale and have a Climb DC of 35.","APG"
"Hydraulic Push","evocation","","water","druid 1, sorcerer/wizard 1, magus 1, bloodrager 1, shaman 1","1 standard action","V, S","0","close (25 ft. + 5 ft./2 levels)","","","one creature or object","instantaneous","0","0","none","yes","You call forth a quick blast of water that knocks over and soaks one creature or square. You can use this blast of water to make a bull rush against any one creature or object. Your CMB for this bull rush is equal to your caster level plus your Intelligence, Wisdom, or Charisma modifier, whichever is highest. This bull rush does not provoke an attack of opportunity. Hydraulic push extinguishes any normal fires on a creature, object, or in a single 5-foot square which it is targeted against. Magical fires are unaffected.","APG"
"Hydraulic Torrent","evocation","","water","druid 3, sorcerer/wizard 3, magus 3, bloodrager 3","1 standard action","V, S","0","60 ft.","60-ft. line","","","instantaneous","0","0","none","yes","You call forth a powerful stream of water that batters all creatures and obstacles in its path until it strikes something it cannot push past. Against creatures and moveable objects this stream acts as a bull rush. You can bull rush creatures of any size, not just those one size larger than your own. Make a combat maneuver check and apply its results to each creature within the area. Your CMB for this bull rush is equal to your caster level plus your Intelligence, Wisdom, or Charisma modifier, whichever is highest. This bull rush does not provoke an attack of opportunity.  Against immovable objects this stream instead allows you to make a Strength check to destroy the target. When attempting to break an object, the stream has an effective Strength equal to your caster level plus the ability score modifier as above. The Break DC depends on the object you're trying to break-page 175 of the Pathfinder RPG Core Rulebook lists several sample Break DCs for various objects.  Hydraulic torrent extinguishes any normal fires it encounters along its path. Magical fires are unaffected.","APG"
"Ill Omen","enchantment","compulsion","mind-affecting","witch 1, psychic 1, mesmerist 1, medium 1","1 standard action","V, S, M (hair from a black cat)","0","close (25 ft. + 5 ft./2 levels)","","","one creature","1 round/level or until discharged","0","0","none","yes","You afflict the target with bad luck. On the next d20 roll the target makes, it must roll twice and take the less favorable result. For every five caster levels you have, the target must roll twice on an additional d20 roll (to a maximum of five rolls at 20th level).  A target who can speak and has at least one free hand and who is aware of the spell and its effects (such as from a Spellcraft check to identify the spell as it is cast) can negate one reroll by spending a move action to utter a brief prayer or good luck charm to appease the spirits of ill fortune.","APG"
"Innocence","transmutation","","","bard 1, mesmerist 1","1 standard action","V, S","0","personal","","","you","1 minute/level (D)","1","0","","","You surround yourself with an aura of innocence and trustworthiness. You gain a +10 competence bonus on Bluff skill checks to convince others of your innocence. They find it difficult to believe you capable of any wrongdoing. This bonus does not apply to other uses of the Bluff skill, such as feinting in combat, creating a diversion to hide, or communicating secret messages via innuendo, nor does it apply to any use of the skill to convince anyone of anything other than your complete innocence and blamelessness.","APG"
"Instant Armor","conjuration","creation","force","cleric/oracle 2, paladin 2, psychic 2","1 standard action","V, S, DF","0","personal","","","you","1 minute/level (D)","1","0","","","You instantly wrap your body in a suit of armor made from opaque force. At your option, the armor can be decorated with your religion's holy symbol in a prominent place, such as upon the breastplate or helm. While it exists, this armor replaces any garments or other sort of armor worn, magical as well as mundane. You lose access to, and all benefits from, armor replaced by this spell until the spell ends and the instant armor disappears. Instant armor acts in all ways as armor typical of its type (armor bonus, maximum Dexterity bonus, arcane spell failure chance, and so on). Since instant armor is made of force, incorporeal creatures can't bypass it the way they do normal armor. The sort of armor you can create with this spell depends on your caster level. Caster Level Armor Created 5th or lower chainmail 6th-8th banded mail 9th-11th half-plate 12th or higher full plate If you choose to create lesser armor than your level allows you gain a +1 magical enhancement bonus to the armor you do create for every type of armor you pass over. For instance, if you have the capacity to create full plate instant armor you could instead choose to create +1 half-plate, +2 banded mail, or +3 chainmail. You cannot replace these bonuses with armor special properties.","APG"
"Instant Enemy","enchantment","","","ranger 3","1 swift action","V, S","0","close (25 ft. + 5 ft./2 levels)","","","one creature that is not your favored enemy.","1 minute/level","0","0","none","no","With this spell you designate the target as your favored enemy for the remainder of its duration. Select one of your favored enemy types. For the duration of the spell, you treat the target as if it were that type of favored enemy for all purposes.","APG"
"Invigorate","illusion","","figment","bard 1, psychic 1, mesmerist 1, medium 1","1 standard action","V","0","touch","","","creature touched","10 minutes/level (D)","1","0","Will negates (harmless)","yes (harmless)","This spell banishes feelings of weariness. For the duration, the subject takes no penalties from the fatigued or exhausted conditions. The effect of invigorate is merely an illusion, however, not a substitute for actual rest or respite. When the spell ends, the subject takes 1d6 points of nonlethal damage, along with the return of the original condition(s). A creature can be under the effects of only one invigorate spell at a time; if it is cast a second time on that creature, the first immediately ends.","APG"
"Invigorate, Mass","illusion","","figment","bard 3, psychic 4, mesmerist 3","1 standard action","V","0","touch","","","creatures touched, up to one/level","10 minutes/level (D)","1","0","Will negates (harmless)","yes (harmless)","This spell work as invigorate, except it affects multiple creatures.","APG"
"Jester's Jaunt","conjuration","teleportation","","bard 3, mesmerist 3","1 standard action","V, S","0","touch","","","one living creature","instantiations","0","0","Will negates","yes","You teleport the target to a space you can see within 30 feet of the target. The destination must be on solid ground, and the teleportation cannot end in a space that is by nature hazardous to the creature you are teleporting.","APG"
"Keen Senses","transmutation","","","alchemist 1, druid 1, ranger 1, occultist 1","1 standard action","V, M/DF (a hawk's feather)","0","touch","","","creature touched","1 minute/level (D)","1","0","Will negates (harmless)","yes (harmless)","The subject gains a +2 competence bonus on Perception checks and gains low-light vision. Subjects that have low-light vision double the distance they can see under the effects of this spell.","APG"
"King's Castle","conjuration","teleportation","","paladin 4","1 standard action","V, S, DF","0","close (25 ft. + 5 ft./2 levels)","","","one creature","instantaneous","0","0","Will negates (harmless)","yes (harmless)","This spell allows you to switch places with an ally. When you cast this spell, choose a single ally within range. You teleport to your ally's space while your ally teleports to your former space.","APG"
"Knight's Calling","enchantment","compulsion","mind-affecting","paladin 1","1 standard action","V, DF","0","close (25 ft. + 5 ft./2 levels)","","","one creature","1 round","0","0","Will negates","yes","You compel an enemy to come and fight you. On its turn, the target moves its speed toward you, avoiding any other dangers along its path (including any movement that would provoke attacks of opportunity). The target may do nothing but move on its turn. If the target ends its move adjacent to you, you can make an attack of opportunity against the target.","APG"
"Lead Blades","transmutation","","","ranger 1, occultist 1","1 standard action","V, S","0","personal","","","touch","1 minute/level (D)","1","0","","","Lead blades increases the momentum and density of your melee weapons just as they strike a foe. All melee weapons you are carrying when the spell is cast deal damage as if one size category larger than they actually are. For instance, a Medium longsword normally deals 1d8 points of damage, but it would instead deal 2d6 points of damage if benefiting from lead blades (see page 145 of the Core Rulebook for more information). Only you can benefit from this spell. If anyone else uses one of your weapons to make an attack it deals damage as normal for its size.","APG"
"Life Bubble","abjuration","","","cleric/oracle 5, druid 4, ranger 3, sorcerer/wizard 5, occultist 4, psychic 5","1 standard action","V, S, M/DF (a bit of eggshell)","0","touch","","","creatures touched, up to one/level","2 hours/level; see text","0","0","Will negates (harmless)","yes (harmless)","You surround the touched creatures with a constant and moveable 1-inch shell of tolerable living conditions. This shell enables the subjects to breathe freely, even underwater or in a vacuum, as well as making them immune to harmful gases and vapors, including inhaled diseases and poisons and spells like cloudkill and stinking cloud. In addition, the shell protects subjects from extremes of temperature (per endure elements) as well as extremes of pressure.  Life bubble does not provide protection from negative or positive energy (such as found on the Negative and Positive Energy planes), the ability to see in conditions of poor visibility (such as in smoke or fog), nor the ability to move or act normally in conditions that impede movement (such as underwater).  When you cast this spell it has a total duration of 2 hours per caster level. You can divide this duration up in any manner you wish, not necessarily equally, between up to 1 creature per caster level.","APG"
