name,school,subschool,descriptor,spell_level,casting_time,components,costly_components,range,area,effect,targets,duration,dismissible,shapeable,saving_throw,spell_resistance,description,source
Mensajero Animal,Encantamiento,Compulsión,afectación mental,"Bardo 2, Druida 2, Explorador 1, Chamán 2, Psíquico 2, Mesmerista 2",1 minuto,"V, S, M (un trozo de comida que le gusta al animal)",0,Cierre (25 pies + 5 pies/2 niveles),,,uno Animal diminuto,1 día/nivel,0,0,ninguno; Ver texto,Sí,"Obligas a un animal diminuto a ir a un lugar que designas. El uso más común de este hechizo es conseguir que un animal lleve un mensaje a tus aliados. El animal no puede ser domesticado o entrenado por otra persona, incluyendo criaturas como familiares y compañeros animales. Usando algún tipo de alimento deseable para el animal como señuelo, llamas al animal hacia ti. Avanza y espera tu subasta. Puedes impresionar mentalmente al animal un lugar concreto que conoces bien o un punto de referencia evidente. Las instrucciones deben ser sencillas, porque el animal depende de tus conocimientos y no puede encontrar un destino por sí solo. Puedes adjuntar un pequeño objeto o nota al mensajero. El animal entonces se dirige al lugar designado y espera allí hasta que expira la duración del hechizo, momento en el que retoma sus actividades normales. Durante este periodo de espera, el mensajero permite que otros se acerquen y retiren cualquier pergamino o ficha que lleve. El destinatario previsto no obtiene ninguna habilidad especial para comunicarse con el animal ni para leer ningún mensaje adjunto (si está escrito en un idioma que no conoce, por ejemplo).",PFRPG Core
Formas de animales,Transmutación,polimorfismo,,"Druida 8, Chamán 8",1 Acción estándar,"V, S, DF",0,Cierre (25 pies + 5 pies/2 niveles),,,"hasta una criatura dispuesta por nivel, todas a menos de 30 pies de distancia entre sí.",1 hora/nivel,1,0,ninguno; Ver texto,Sí (inofensivo),"Como forma de bestia III, excepto que cambias la forma de hasta una criatura dispuesta por nivel de lanzador en un animal de tu elección; El hechizo no tiene efecto sobre criaturas no dispuestas. Todas las criaturas deben adoptar el mismo tipo de forma animal. Los receptores permanecen en la forma animal hasta que expire el hechizo o hasta que lo descartes para todos los destinatarios. Además, un sujeto individual puede optar por retomar su forma normal como acción de ronda completa; Hacerlo termina el hechizo solo para ese sujeto.",PFRPG Core
Animal Trance,Encantamiento,Compulsión,Sonic que afecta la mente,"Bardo 2, Druida 2, Psíquico 2, Mesmerista 2",1 Acción estándar,"V, S",0,Cierre (25 pies + 5 pies/2 niveles),,,animales o bestias mágicas con Inteligencia 1 o 2,Concentración,0,0,La voluntad niega,Sí,"Tus movimientos de vaivén y la música (o el canto, o el cántico) obligan a los animales y a las bestias mágicas a no hacer nada más que observarte. Solo una criatura con una puntuación de Inteligencia de 1 o 2 puede fascinarse con este hechizo. Tira 2d6 para determinar el número total de HD de criaturas que te fascinan. Los objetivos más cercanos se seleccionan primero hasta que no se puedan afectar más objetivos dentro del alcance.",PFRPG Core
Animar a los muertos,Nigromancia,,malvado,"Clérigo 3, Oráculo 3, Hechicero 4, Mago 4, Antipaladín 3, Chamán 3, Ocultista 3, Espiritualista 3",1 Acción estándar,"V, S, M (una gema ónix que vale al menos 25 gp por cada dado de vida de los no-muertos)",1,Toque,,,uno o más cadáveres tocados,instantáneo,0,0,ninguno,no,"Este hechizo convierte cadáveres en esqueletos no muertos o zombis (véase el Bestiario del RPG Pathfinder) que obedecen tus órdenes habladas. Los no-muertos pueden ser obligados a seguirte, o pueden quedarse en un área y atacar a cualquier criatura (o simplemente un tipo específico de criatura) que entre en el lugar. Permanecen animados hasta que son destruidos. Un esqueleto o zombi destruido no puede ser animado de nuevo. Independientemente del tipo de no-muerto que crees con este hechizo, no puedes crear más HD de no muertos que el doble de tu nivel de lanzador con un solo lanzamiento de animar muertos. El hechizo profanar duplica este límite. Los no-muertos que creas permanecen bajo tu control indefinidamente. Sin embargo, no importa cuántas veces uses este hechizo, solo puedes controlar 4 puntos de vida de criaturas no muertas por nivel de lanzador. Si superas este número, todas las criaturas recién creadas quedan bajo tu control, y cualquier no-muerto excedente de lanzamientos anteriores queda descontrolado. Tú eliges qué criaturas se liberan. Los no-muertos que controlas mediante la dote de Comando No Muerto no cuentan para este límite. Esqueletos: Un esqueleto solo puede crearse a partir de un cadáver o esqueleto mayormente intacto. El cadáver debe tener huesos. Si un esqueleto está hecho a partir de un cadáver, la carne se desprende de los huesos. Zombis: Un zombi solo puede ser creado a partir de un cadáver casi intacto. El cadáver debe ser el de una criatura con anatomía física.",PFRPG Core
Objetos animados,Transmutación,,,"Bardo 6, Clérigo 6, Oráculo 6, Bruja 6, Ocultista 6, Psíquico 6",1 Acción estándar,"V, S",0,Medio (100 pies + 10 pies/nivel),,,un objeto pequeño por nivel de lanzador; Ver texto,1 ronda/nivel,0,0,ninguno,no,"Dotas a los objetos inanimados de movilidad y una apariencia de vida. Cada objeto animado ataca inmediatamente a quien o lo que designes inicialmente. Un objeto animado puede ser de cualquier material no mágico. Puedes animar un objeto pequeño o más pequeño o un número correspondiente de objetos grandes de la siguiente manera: un objeto Medio cuenta como dos objetos Pequeños o más pequeños, un objeto Grande como cuatro, un objeto Grande como ocho, un objeto gigantesco como 16 y un objeto Colosal como 32. Puedes cambiar el objetivo o objetivos designados como acción de movimiento, como si dirigieras un hechizo activo. Consulta el Bestiario de Pathfinder RPG para las estadísticas de los objetos animados. Este hechizo no puede afectar a los objetos que lleva o lleva una criatura. Animar objetos puede hacerse permanente con un hechizo de permanencia.",PFRPG Core
Plantas Animadas,Transmutación,,,"Druida 7, Chamán 7",1 Acción estándar,V,0,Cierre (25 pies + 5 pies/2 niveles),,,una planta grande por cada tres niveles de lanzador o todas las plantas dentro del rango; Ver texto,1 ronda/nivel o 1 hora/nivel; Ver texto,0,0,ninguno,no,"Dotas a las plantas inanimadas de movilidad y una apariencia de vida. Cada planta animada ataca inmediatamente a quien o lo que designes inicialmente como si fuera un objeto animado de la categoría de tamaño correspondiente. Puedes animar una planta Grande o pequeña, o varias plantas más grandes como sigue: una planta Enorme cuenta como dos plantas grandes o pequeñas, una planta gigantesca como cuatro, y una planta Colosal como ocho. Puedes cambiar el objetivo o objetivos designados como acción de movimiento, como si dirigieras un hechizo activo. Usa las estadísticas de objetos animados (véase Pathfinder RPG Bestiary), excepto que las plantas más pequeñas que las grandes no tienen dureza. Las plantas animadas no pueden afectar a las criaturas vegetales, ni tampoco a los materiales vegetales no vivos. Enredo: Alternativamente, puedes dotar a todas las plantas dentro del alcance de cierto grado de movilidad, lo que les permite entrelazarse con las criaturas de la zona. Este uso del hechizo duplica el efecto de un hechizo de enredo. La resistencia a hechizos no evita que las criaturas se enreden. Este efecto dura 1 hora por nivel de lanzador.",PFRPG Core
Cuerda Animada,Transmutación,,,"Bardo 1, Hechicero 1, Mago 1, Psíquico 1, Mesmerista 1",1 Acción estándar,"V, S",0,Medio (100 pies + 10 pies/nivel),,,"un objeto en forma de cuerda, de longitud de hasta 50 pies + 5 pies/nivel; Ver texto",1 ronda/nivel,0,0,ninguno,no,"Puedes animar un objeto inerte parecido a una cuerda. La longitud máxima asume una cuerda de 1 pulgada de diámetro. Reduce la longitud máxima en un 50% por cada pulgada adicional de grosor, y aumenta un 50% por cada reducción a la mitad del diámetro de la cuerda. Los comandos posibles son ""enrollar"" (formar una pila ordenada y enrollada), ""enrollar y nudo"", ""lazo"", ""lazo y nudo"", ""atar y nudo"" y los opuestos de todos los anteriores (""desenrolar"", y así sucesivamente). Puedes dar una orden cada ronda como acción de movimiento, como si dirigieras un hechizo activo. La cuerda solo puede envolver a una criatura u objeto a menos de un pie de ella; no se mueve hacia afuera, por lo que debe lanzarse cerca del objetivo previsto. Para lograrlo, se requiere una tirada exitosa de ataque a distancia (incremento de alcance de 10 pies). Una cuerda de cáñamo típica de 1 pulgada de diámetro tiene 2 puntos de vida, CA 10 y requiere una tirada de Fuerza DC 23 para romperla. La cuerda no hace daño, pero puede usarse como línea de tropeza o para enredar a un solo oponente que falla una tirada de salvación de Reflejos. Una criatura capaz de lanzar conjuros que esté atada a este hechizo debe realizar una tirada de concentración con una CD de 15 + el nivel del hechizo para lanzar un hechizo. Una criatura enredada puede escaparse con una tirada de Escape Artist con CD 20. La cuerda en sí y cualquier nudo atado en ella no son mágicos. El hechizo no puede afectar a los objetos que lleva o lleva una criatura.",PFRPG Core
Proyectil Antivida,Abjuración,,,"Clérigo 6, Oráculo 6, Druida 6, Chamán 6, Psíquico 6",1 ronda,"V, S, DF",0,10 pies.,"Emanación de radio de 10 pies, centrada en ti",,,1 min./nivel,1,0,ninguno,Sí,"Generas un campo de energía móvil y hemisférico que impide la entrada de la mayoría de los tipos de seres vivos. El efecto excluye animales, aberraciones, dragones, feéricas, gigantes, humanoides, bestias mágicas, humanoides monstruosos, babos, plantas y alimañas, pero no constructos, elementales, forasteros ni no-muertos. Este hechizo solo puede usarse de forma defensiva, no agresiva. Forzar una barrera de abjuración contra criaturas que el hechizo mantiene a raya hace que la barrera se derrumbe.",PFRPG Core
Campo Antimagia,Abjuración,,,"Clérigo 8, Oráculo 8, Hechicero 6, Mago 6, Ocultista 6, Psíquico 7",1 Acción estándar,"V, S, M/DF (pizca de polvo de hierro o limaduras de hierro)",0,10 pies.,"Emanación de radio de 10 pies, centrada en ti",,,10 min./nivel (D),1,0,ninguno,Ver texto,"Una barrera invisible te rodea y se mueve contigo. El espacio dentro de esta barrera es impermeable a la mayoría de los efectos mágicos, incluidos hechizos, habilidades similares a hechizos y habilidades sobrenaturales. Asimismo, impide el funcionamiento de cualquier objeto mágico o hechizo dentro de sus límites. Un campo antimagia suprime cualquier hechizo o efecto mágico usado dentro, introducido o lanzado en la zona, pero no lo disipa. El tiempo que pasa dentro de un campo antimagia cuenta para la duración del hechizo suprimido. Las criaturas invocadas de cualquier tipo desaparecen si entran en un campo antimagia. Reaparecen en el mismo lugar una vez que el campo desaparece. El tiempo que pasa apagándose normalmente cuenta contra la duración de la conjuración que mantiene a la criatura. Si lanzas campo antimagia en un área ocupada por una criatura invocada que tiene resistencia a conjuros, debes hacer una tirada de nivel lanzador (1d20 + nivel de lanzador) contra la resistencia a conjuros de la criatura para que desaparezca. (Los efectos de las conjuraciones instantáneas no se ven afectados por un campo antimagia porque la conjuración en sí ya no está en efecto, solo su resultado.) Una criatura normal puede entrar en la zona, al igual que misiles normales. Además, aunque una espada mágica no funciona mágicamente en la zona, sigue siendo una espada (y una espada de obra maestra, además). El hechizo no tiene efecto sobre gólems ni otros constructos que están imbuidos de magia durante su proceso de creación y que a partir de entonces son autosuficientes (a menos que hayan sido invocados, en cuyo caso se les trata como cualquier otra criatura invocada). Elementales, no-muertos y forasteros tampoco se ven afectados a menos que se les invoque. Las habilidades similares a hechizos o sobrenaturales de estas criaturas pueden ser anuladas temporalmente por el campo. Disipar magia no elimina el campo. Dos o más campos antimagia que comparten el mismo espacio no tienen efecto entre sí. Ciertos hechizos, como muro de fuerza, esfera prismática y muro prismático, permanecen sin verse afectados por el campo antimágico. Los artefactos y deidades no se ven afectados por la magia mortal como esta. Si una criatura es más grande que el área delimitada por la barrera, cualquier parte que esté fuera de la barrera no se ve afectada por el campo.",PFRPG Core
Antipatía,Encantamiento,Compulsión,Emociones que afectan la mente,"Druida 9, Hechicero 8, Mago 8, Bruja 8, Invocador 6, Invocador Desencadenado 6, Ocultista 6, Psíquico 8",1 hora,"V, S, M/DF (un trozo de alumbre empapado en vinagre)",0,Cierre (25 pies + 5 pies/2 niveles),,,una ubicación (hasta un cubo de 10 pies/nivel) o un objeto,2 horas/nivel,1,0,Will parcial,Sí,"Haces que un objeto o lugar emita vibraciones mágicas que repelen un tipo específico de criatura inteligente o criaturas de un alineamiento determinado, según lo definidas tú. El tipo de criatura a ser afectada debe tener un nombre específico. Un subtipo de criatura no es lo suficientemente específico. Del mismo modo, debe nombrarse la alineación específica que se va a repeler. Las criaturas del tipo o alineamiento designado sienten el impulso de abandonar el área o de evitar el objeto afectado. Una compulsión les obliga a abandonar el área o objeto, rechazándolo y nunca regresando voluntariamente mientras el hechizo esté activo. Una criatura que logra una tirada de salvación exitosa puede quedarse en la zona o tocar el objeto, pero se siente incómoda haciéndolo. Esta molestia distrae reduce la puntuación de Destreza de la criatura en 4 puntos. La antipatía contrarresta y disipa la simpatía.",PFRPG Core
Proyectil antiplanta,Abjuración,,,Druida 4,1 Acción estándar,"V, S, DF",0,10 pies.,"Emanación de radio de 10 pies, centrada en ti",,,1 min./nivel,1,0,ninguno,Sí,"El hechizo antiplanta de caparazón crea una barrera invisible y móvil que mantiene protegidas a todas las criaturas dentro de la concha de ataques de plantas o plantas animadas. Como ocurre con muchos hechizos de abjuración, forzar la barrera contra criaturas que el hechizo mantiene a raya tensa y colapsa el campo.",PFRPG Core
Ojo Arcano,Adivinación,Adivinación,,"Hechicero 4, Mago 4, Bruja 4, Alquimista 4, Ocultista 4, Psíquico 4, Mesmerista 4",10 minutos,"V, S, M (un poco de pelaje de murciélago)",0,ilimitado,,Sensor mágico,,1 min./nivel,1,0,ninguno,no,"Creas un sensor mágico invisible que te envía información visual. Puedes crear el ojo arcano en cualquier punto que veas, pero luego puede salir de tu línea de visión sin impedimentos. Un ojo arcano viaja a 30 pies por ronda (300 pies por minuto) si observas un área delante como lo haría un humano (principalmente mirando al suelo) o a 10 pies por ronda (100 pies por minuto) si examinas el techo y las paredes, así como el suelo delante. Ve exactamente como verías si estuvieras allí. El ojo puede desplazarse en cualquier dirección mientras dure el hechizo. Barreras sólidas bloquean su paso, pero puede atravesar un agujero o espacio tan pequeño como 1 pulgada de diámetro. El ojo no puede entrar en otro plano de existencia, ni siquiera a través de una puerta o un portal mágico similar. Debes concentrarte para usar un ojo arcano. Si no te concentras, el ojo permanece inerte hasta que vuelves a concentrarte.",PFRPG Core
Candado Arcano,Abjuración,,,"Hechicero 2, Mago 2, Ocultista 2",1 Acción estándar,"V, S, M (polvo de oro valorado en 25 po)",1,Toque,,,"Puerta, cofre o portal, de hasta 30 pies cuadrados por nivel",Permanente,0,0,ninguno,no,"Un hechizo de bloqueo arcano lanzado sobre una puerta, cofre o portal la encierra mágicamente. Puedes pasar libremente tu propio bloqueo arcano sin afectarlo. Si el objeto bloqueado tiene un bloqueo, la CD para abrir ese bloqueo aumenta en 10 mientras permanece unido al objeto. Si el objeto no tiene bloqueo, este hechizo crea uno que solo puede abrirse con una tirada de destreza de desactivar dispositivo con CD 20. Una puerta u objeto asegurado con este hechizo solo puede abrirse entrando o con un hechizo de disipación o golpe exitoso. Añade 10 a la CD normal para abrir una puerta o portal afectado por este hechizo. Un hechizo de golpe no elimina un bloqueo arcano; Solo suprime el efecto durante 10 minutos.",PFRPG Core
Marca Arcana,Universal,,,"Hechicero 0, Mago 0, Invocador 0, Invocador Desencadenado 0, Mago 0, Chamán 0, Psíquico 0",1 Acción estándar,"V, S",0,Toque,,"una runa o marca personal, todas ellas deben caber dentro de 1 pie cuadrado.",,Permanente,0,0,ninguno,no,"Este hechizo te permite inscribir tu runa o marca personal, que puede consistir en no más de seis caracteres. La escritura puede ser visible o invisible. Un hechizo de marca arcana te permite grabar la runa en cualquier sustancia sin dañar el material sobre el que se coloca. Si se crea una marca invisible, un hechizo de detección mágica hace que brille y sea visible, aunque no necesariamente comprensible. Ver invisibilidad, ver verdadera, una gema de ver o una túnica de ojos también permite al usuario ver una marca arcana invisible. Un hechizo de magia leído revela las palabras, si es que hay alguna. La marca no puede ser disipada, pero sí puede ser eliminada por el lanzador o mediante un hechizo de borrado. Si se coloca una marca arcana en un ser vivo, el efecto se desvanece gradualmente en aproximadamente un mes. La marca arcana debe lanzarse sobre un objeto antes de lanzar invocaciones instantáneas sobre el mismo objeto (véase la DESCRIPCIÓN de ese hechizo para más detalles).",PFRPG Core
Visión Arcana,Adivinación,,,"Hechicero 3, Mago 3, Bruja 3, Inquisidor 3, Alquimista 3, Mago 3, Ocultista 3, Psíquico 3",1 Acción estándar,"V, S",0,Vida personal,,,tú,1 min./nivel,1,0,,,"Este hechizo hace que tus ojos brillen en azul y te permite ver auras mágicas a menos de 30 metros de distancia. El efecto es similar al de un hechizo de detección mágica, pero la vista arcana no requiere concentración y percibe la ubicación y el poder del aura más rápidamente. Conoces la ubicación y el poder de todas las auras mágicas que tienes a la vista. El poder de un aura depende del nivel de funcionamiento de un conjuro o del nivel de lanzador de un objeto, como se indica en la DESCRIPCIÓN del hechizo detectar magia. Si los objetos o criaturas con las auras están en línea de visión, puedes hacer tiradas de habilidad de Hechizos para determinar la escuela de magia involucrada en cada una. (Haz una comprobación por aura; CD 15 + nivel de conjuro, o 15 + medio nivel de lanzador para un efecto que no sea de conjuro.) Si te concentras en una criatura específica a menos de 30 metros de ti como acción estándar, puedes determinar si tiene alguna habilidad de lanzamiento de hechizos o similares a conjuros, si son arcanas o divinas (las habilidades similares a hechizos se registran como arcanas), y la fuerza del hechizo o habilidad similar a un hechizo más poderoso que la criatura tenga actualmente disponible para usar. Al igual que con detectar magia, puedes usar este hechizo para identificar las propiedades de los objetos mágicos, pero no de los artefactos. La visión arcana puede hacerse permanente con un hechizo de permanencia.",PFRPG Core
"Vista Arcana, Mayor",Adivinación,,,"Hechicero 7, Mago 7, Bruja 7, Psíquico 7",1 Acción estándar,"V, S",0,Vida personal,,,tú,1 min./nivel,1,0,,,"Este hechizo funciona como la vista arcana, salvo que automáticamente sabes qué hechizos o efectos mágicos están activos sobre cualquier individuo u objeto que veas. A diferencia de la vista arcana, este hechizo no puede hacerse permanente con un hechizo de permanencia.",PFRPG Core
